step,mass,maxu
358,363,0.0967
359,363,0.0955
360,363,0.0969
361,363,0.0957
362,363,0.097
363,363,0.0958
364,363,0.0971
365,363,0.0959
366,363,0.0972
367,363,0.096
368,363,0.0973
369,363,0.0962
370,363,0.0974
371,363,0.0963
372,363,0.0975
373,363,0.0964
374,363,0.0975
375,363,0.0964
376,363,0.0976
377,363,0.0965
378,363,0.0977
379,363,0.0966
380,363,0.0977
381,363,0.0966
382,363,0.0977
383,363,0.0967
384,363,0.0978
385,363,0.0967
386,363,0.0978
387,363,0.0967
388,363,0.0978
389,363,0.0968
390,363,0.0978
391,363,0.0968
392,363,0.0978
393,363,0.0968
394,363,0.0978
395,363,0.0968
396,363,0.0978
397,363,0.0968
398,363,0.0978
399,363,0.0969
400,363,0.0978
401,363,0.0969
402,363,0.0979
403,363,0.0969
404,363,0.0979
405,363,0.097
406,363,0.0979
407,363,0.097
408,363,0.0979
409,363,0.0971
410,363,0.098
411,363,0.0971
412,363,0.098
413,363,0.0972
414,363,0.0981
415,363,0.0972
416,363,0.0981
417,363,0.0973
418,363,0.0982
419,363,0.0974
420,363,0.0983
421,363,0.0974
422,363,0.0983
423,363,0.0975
424,363,0.0984
425,363,0.0976
426,363,0.0984
427,363,0.0976
428,363,0.0985
429,363,0.0977
430,363,0.0985
431,363,0.0978
432,363,0.0986
433,363,0.0978
434,363,0.0986
435,363,0.0979
436,363,0.0987
437,363,0.0979
438,363,0.0987
439,363,0.0979
440,363,0.0987
441,363,0.098
442,363,0.0987
443,363,0.098
444,363,0.0987
445,363,0.098
446,363,0.0988
447,363,0.098
448,363,0.0988
449,363,0.098
450,363,0.0988
451,363,0.0981
452,363,0.0988
453,363,0.0981
454,363,0.0988
455,363,0.0981
456,363,0.0988
457,363,0.0981
458,363,0.0988
459,363,0.0981
460,363,0.0988
461,363,0.0981
462,363,0.0988
463,363,0.0981
464,363,0.0988
465,363,0.0981
466,363,0.0988
467,363,0.0981
468,363,0.0988
469,363,0.0982
470,363,0.0988
471,363,0.0982
472,363,0.0988
473,363,0.0982
474,363,0.0989
475,363,0.0983
476,363,0.0989
477,363,0.0983
478,363,0.0989
479,363,0.0983
480,363,0.0989
481,363,0.0984
482,363,0.099
483,363,0.0984
484,363,0.099
485,363,0.0985
486,363,0.099
487,363,0.0985
488,363,0.0991
489,363,0.0985
490,363,0.0991
491,363,0.0986
492,363,0.0991
493,363,0.0986
494,363,0.0992
495,363,0.0986
496,363,0.0992
497,363,0.0987
498,363,0.0992
499,363,0.0987
500,363,0.0992
501,363,0.0987
502,363,0.0993
503,363,0.0987
504,363,0.0993
505,363,0.0988
506,363,0.0993
507,363,0.0988
508,363,0.0993
509,363,0.0988
510,363,0.0993
511,363,0.0988
512,363,0.0993
513,363,0.0988
514,363,0.0993
515,363,0.0988
516,363,0.0993
517,363,0.0988
518,363,0.0993
519,363,0.0988
520,363,0.0993
521,363,0.0989
522,363,0.0993
523,363,0.0989
524,363,0.0993
525,363,0.0989
526,363,0.0994
527,363,0.0989
528,363,0.0994
529,363,0.0989
530,363,0.0994
531,363,0.0989
532,363,0.0994
533,363,0.0989
534,363,0.0994
535,363,0.099
536,363,0.0994
537,363,0.099
538,363,0.0994
539,363,0.099
540,363,0.0995
541,363,0.099
542,363,0.0995
543,363,0.099
544,363,0.0995
545,363,0.0991
546,363,0.0995
547,363,0.0991
548,363,0.0995
549,363,0.0991
550,363,0.0995
551,363,0.0991
552,363,0.0996
553,363,0.0992
554,363,0.0996
555,363,0.0992
556,363,0.0996
557,363,0.0992
558,363,0.0996
559,363,0.0992
560,363,0.0996
561,363,0.0992
562,363,0.0996
563,363,0.0992
564,363,0.0996
565,363,0.0992
566,363,0.0996
567,363,0.0992
568,363,0.0996
569,363,0.0993
570,363,0.0996
571,363,0.0993
572,363,0.0996
573,363,0.0993
574,363,0.0996
575,363,0.0993
576,363,0.0996
577,363,0.0993
578,363,0.0996
579,363,0.0993
580,363,0.0996
581,363,0.0993
582,363,0.0996
583,363,0.0993
584,363,0.0996
585,363,0.0993
586,363,0.0997
587,363,0.0993
588,363,0.0997
589,363,0.0993
590,363,0.0997
591,363,0.0993
592,363,0.0997
593,363,0.0993
594,363,0.0997
595,363,0.0993
596,363,0.0997
597,363,0.0993
598,363,0.0997
599,363,0.0993
600,363,0.0997
601,363,0.0994
602,363,0.0997
603,363,0.0994
604,363,0.0997
605,363,0.0994
606,363,0.0997
607,363,0.0994
608,363,0.0997
609,363,0.0994
610,363,0.0997
611,363,0.0994
612,363,0.0998
613,363,0.0994
614,363,0.0998
615,363,0.0994
616,363,0.0998
617,363,0.0995
618,363,0.0998
619,363,0.0995
620,363,0.0998
621,363,0.0995
622,363,0.0998
623,363,0.0995
624,363,0.0998
625,363,0.0995
626,363,0.0998
627,363,0.0995
628,363,0.0998
629,363,0.0995
630,363,0.0998
631,363,0.0995
632,363,0.0998
633,363,0.0995
634,363,0.0998
635,363,0.0995
636,363,0.0998
637,363,0.0995
638,363,0.0998
639,363,0.0995
640,363,0.0998
641,363,0.0995
642,363,0.0998
643,363,0.0995
644,363,0.0998
645,363,0.0995
646,363,0.0998
647,363,0.0996
648,363,0.0999
649,363,0.0996
650,363,0.0999
651,363,0.0996
652,363,0.0999
653,363,0.0996
654,363,0.0999
655,363,0.0996
656,363,0.0999
657,363,0.0996
658,363,0.0999
659,363,0.0996
660,363,0.0999
661,363,0.0996
662,363,0.0999
663,363,0.0996
664,363,0.0999
665,363,0.0996
666,363,0.0999
667,363,0.0996
668,363,0.0999
669,363,0.0996
670,363,0.0999
671,363,0.0997
672,363,0.0999
673,363,0.0997
674,363,0.0999
675,363,0.0997
676,363,0.0999
677,363,0.0997
678,363,0.0999
679,363,0.0997
680,363,0.0999
681,363,0.0997
682,363,0.0999
683,363,0.0997
684,363,0.0999
685,363,0.0997
686,363,0.0999
687,363,0.0997
688,363,0.0999
689,363,0.0997
690,363,0.0999
691,363,0.0997
692,363,0.0999
693,363,0.0997
694,363,0.0999
695,363,0.0997
696,363,0.1
697,363,0.0997
698,363,0.1
699,363,0.0997
700,363,0.1
701,363,0.0997
702,363,0.1
703,363,0.0998
704,363,0.1
705,363,0.0998
706,363,0.1
707,363,0.0998
708,363,0.1
709,363,0.0998
710,363,0.1
711,363,0.0998
712,363,0.1
713,363,0.0998
714,363,0.1
715,363,0.0998
716,363,0.1
717,363,0.0998
718,363,0.1
719,363,0.0998
720,363,0.1
721,363,0.0998
722,363,0.1
723,363,0.0998
724,363,0.1
725,363,0.0998
726,363,0.1
727,363,0.0998
728,363,0.1
729,363,0.0998
730,363,0.1
731,363,0.0998
732,363,0.1
733,363,0.0998
734,363,0.1
735,363,0.0998
736,363,0.1
737,363,0.0998
738,363,0.1
739,363,0.0998
740,363,0.1
741,363,0.0999
742,363,0.1
743,363,0.0999
744,363,0.1
745,363,0.0999
746,363,0.1
747,363,0.0999
748,363,0.1
749,363,0.0999
750,363,0.1
751,363,0.0999
752,363,0.1
753,363,0.0999
754,363,0.1
755,363,0.0999
756,363,0.1
757,363,0.0999
758,363,0.1
759,363,0.0999
760,363,0.1
761,363,0.0999
762,363,0.1
763,363,0.0999
764,363,0.1
765,363,0.0999
766,363,0.1
767,363,0.0999
768,363,0.1
769,363,0.0999
770,363,0.1
771,363,0.0999
772,363,0.1
773,363,0.0999
774,363,0.1
775,363,0.0999
776,363,0.1
777,363,0.0999
778,363,0.1
779,363,0.0999
780,363,0.1
781,363,0.0999
782,363,0.1
783,363,0.0999
784,363,0.1
785,363,0.0999
786,363,0.1
787,363,0.0999
788,363,0.1
789,363,0.0999
790,363,0.1
791,363,0.0999
792,363,0.1
793,363,0.1
794,363,0.1
795,363,0.1
796,363,0.1
797,363,0.1
798,363,0.1
799,363,0.1
800,363,0.1
801,363,0.1
802,363,0.1
803,363,0.1
804,363,0.1
805,363,0.1
806,363,0.1
807,363,0.1
808,363,0.1
809,363,0.1
810,363,0.1
811,363,0.1
812,363,0.1
813,363,0.1
814,363,0.1
815,363,0.1
816,363,0.1
817,363,0.1
818,363,0.1
819,363,0.1
820,363,0.1
821,363,0.1
822,363,0.1
823,363,0.1
824,363,0.1
825,363,0.1
826,363,0.1
827,363,0.1
828,363,0.1
829,363,0.1
830,363,0.1
831,363,0.1
832,363,0.1
833,363,0.1
834,363,0.1
835,363,0.1
836,363,0.1
837,363,0.1
838,363,0.1
839,363,0.1
840,363,0.1
841,363,0.1
842,363,0.1
843,363,0.1
844,363,0.1
845,363,0.1
846,363,0.1
847,363,0.1
848,363,0.1
849,363,0.1
850,363,0.1
851,363,0.1
852,363,0.1
853,363,0.1
854,363,0.1
855,363,0.1
856,363,0.1
857,363,0.1
858,363,0.1
859,363,0.1
860,363,0.1
861,363,0.1
862,363,0.1
863,363,0.1
864,363,0.1
865,363,0.1
866,363,0.1
867,363,0.1
868,363,0.1
869,363,0.1
870,363,0.1
871,363,0.1
872,363,0.1
873,363,0.1
874,363,0.1
875,363,0.1
876,363,0.1
877,363,0.1
878,363,0.1
879,363,0.1
880,363,0.1
881,363,0.1
882,363,0.1
883,363,0.1
884,363,0.1
885,363,0.1
886,363,0.1
887,363,0.1
888,363,0.1
889,363,0.1
890,363,0.1
891,363,0.1
892,363,0.1
893,363,0.1
894,363,0.1
895,363,0.1
896,363,0.1
897,363,0.1
898,363,0.1
899,363,0.1
900,363,0.1
901,363,0.1
902,363,0.1
903,363,0.1
904,363,0.1
905,363,0.1
906,363,0.1
907,363,0.1
908,363,0.1
909,363,0.1
910,363,0.1
911,363,0.1
912,363,0.1
913,363,0.1
914,363,0.1
915,363,0.1
916,363,0.1
917,363,0.1
918,363,0.1
919,363,0.1
